# x z lx lz
0 -0.029999 -0 0
0 -0.029499 -0 0
0 -0.028999 -0 -0
0 -0.0284991 -0 -0
0 -0.0279991 -0 -0
0 -0.0274991 -0 -0
0 -0.0269991 -0 -0
0 -0.0264991 -0 -0
0 -0.0259991 -0 -0
0 -0.0254992 -0 -0
0 -0.0249992 -0 -0
0 -0.0244992 -0 0
0 -0.0239992 -0 -0
0 -0.0234992 -0 -0
0 -0.0229992 -0 -0
0 -0.0224992 -0 -0
0 -0.0219993 -0 0
0 -0.0214993 -0 0
0 -0.0209993 -0 -0
0 -0.0204993 -0 -0
0 -0.0199993 -0 -0
0 -0.0194993 -0 -0
0 -0.0189994 -0 -0
0 -0.0184994 -0 -0
0 -0.0179994 -0 -0
0 -0.0174994 -0 -0
0 -0.0169994 -0 -0
0 -0.0164994 -0 -0
0 -0.0159995 -0 -0
0 -0.0154995 -0 -0
0 -0.0149995 -0 0
0 -0.0144995 -0 -0
0 -0.0139995 -0 -0
0 -0.0134996 -0 -0
0 -0.0129996 -0 -0
0 -0.0124996 -0 -0
0 -0.0119996 -0 -0
0 -0.0114996 -0 -0
0 -0.0109996 -0 -0
0 -0.0104996 -0 -0
0 -0.00999967 -0 -0
0 -0.00949968 -0 -0
0 -0.0089997 -0 -0
0 -0.00849972 -0 -0
0 -0.00799973 -0 -0
0 -0.00749975 -0 -0
0 -0.00699977 -0 -0
0 -0.00649978 -0 -0
0 -0.0059998 -0 -0
0 -0.00549982 -0 -0
0 -0.00499983 -0 -0
0 -0.00449985 -0 -0
0 -0.00399987 -0 -0
0 -0.00349988 -0 -0
0 -0.0029999 -0 -0
0 -0.00249992 -0 0
0 -0.00199993 -0 -0
0 -0.00149995 -0 -0
0 -0.000999967 -0 -0
0 -0.000499983 -0 -0
0 0 -0 -0
0 0.000499983 -0 0
0 0.000999967 -0 0
0 0.00149995 -0 -0
0 0.00199993 -0 -0
0 0.00249992 -0 -0
0 0.0029999 -0 -0
0 0.00349988 -0 -0
0 0.00399987 -0 -0
0 0.00449985 -0 -0
0 0.00499983 -0 -0
0 0.00549982 -0 -0
0 0.0059998 -0 -0
0 0.00649978 -0 -0
0 0.00699977 -0 -0
0 0.00749975 -0 -0
0 0.00799973 -0 -0
0 0.00849972 -0 -0
0 0.0089997 -0 0
0 0.00949968 -0 0
0 0.00999967 -0 0
0 0.0104996 -0 -0
0 0.0109996 -0 -0
0 0.0114996 -0 -0
0 0.0119996 -0 -0
0 0.0124996 -0 -0
0 0.0129996 -0 0
0 0.0134996 -0 -0
0 0.0139995 -0 -0
0 0.0144995 -0 -0
0 0.0149995 -0 -0
0 0.0154995 -0 -0
0 0.0159995 -0 -0
0 0.0164994 -0 -0
0 0.0169994 -0 -0
0 0.0174994 -0 -0
